"ageOfVehicle","carMake","created","id","email","lastName","carModel","firstName","manufacturedDate","vinNumber"
39,"Dodge","2021-04-29T00:46:46.742279",26261,"Porsgrunn","Tedman","Avenger","Juditha","1981-12-05","1FTMF1CW6AF236654"
39,"GMC","2021-04-29T00:46:46.742279",26940,"Dananyu","Rabl","Vandura 2500","Josiah","1981-12-06","WBAFB334X1L553529"
39,"Ford","2021-04-29T00:46:46.742279",26948,"Cavadas","Rumble","Escort","Kalinda","1981-12-11","KMHFG4JG1FA889334"
39,"Chevrolet","2021-04-29T00:46:46.742279",26635,"Izingolweni","Mayoh","Corvette","Sheree","1981-12-13","WAUFFBFL9CA136225"
39,"Toyota","2021-04-29T00:46:46.742279",26064,"Royan","Reah","MR2","Jerrine","1981-12-14","WAUEFAFL1BN798233"
39,"Mercedes-Benz","2021-04-29T00:46:46.742279",26339,"Klimovsk","Addy","300D","Bendite","1981-12-26","WAUJC58E62A986637"
39,"Volkswagen","2021-04-29T00:46:46.742279",26246,"Terangun","Vonasek","Jetta","Dolores","1981-12-27","WA1VMAFE2BD907681"
39,"Subaru","2021-04-29T00:46:46.742279",26790,"Digne-les-Bains","Penniall","Tribeca","Clare","1981-12-30","SCBFC7ZA0DC522754"
39,"Mitsubishi","2021-04-29T00:46:46.742279",26419,"Starokucherganovka","Beecraft","Montero","Leroi","1981-12-31","2G4WF551721144509"
39,"Volvo","2021-04-29T00:46:46.742279",26942,"Arras","Reeve","V50","Nollie","1982-01-03","5N1AN0NW1FN344222"
39,"Nissan","2021-04-29T00:46:46.742279",26121,"Boston","Rapsey","Pathfinder Armada","Timotheus","1982-01-06","5N1BA0NC7FN344490"
39,"Bentley","2021-04-29T00:46:46.742279",26718,"Skorogoszcz","Sizzey","Azure T","Lou","1982-01-09","JN1BV7AP4FM610437"
39,"Toyota","2021-04-29T00:46:46.742279",26173,"Fredrikstad","Windross","RAV4","Linoel","1982-01-13","WAUGL98E48A903412"
39,"Subaru","2021-04-29T00:46:46.742279",26190,"Koumac","Calbaithe","Outback","Derwin","1982-01-13","WAUML44D42N483492"
39,"Maybach","2021-04-29T00:46:46.742279",26382,"Orós","Brouwer","57","Milty","1982-01-14","5UXFG2C53E0454158"
39,"Dodge","2021-04-29T00:46:46.742279",26323,"Bằng Lũng","Goulborne","Viper","Hilton","1982-01-15","3C3CFFER0CT601250"
39,"Honda","2021-04-29T00:46:46.742279",26567,"Havirga","Story","CR-V","Jeremie","1982-01-15","4USBT33584L434626"
39,"Mercury","2021-04-29T00:46:46.742279",26259,"Uchkeken","Jadczak","Grand Marquis","Lissa","1982-01-19","WBAYA8C54FG468445"
39,"Honda","2021-04-29T00:46:46.742279",26502,"Baoxing","Belt","S2000","Zed","1982-01-27","WAU4FBFL3AA651838"
39,"Land Rover","2021-04-29T00:46:46.742279",26126,"Thành Phố Ninh Bình","Bodicum","Freelander","Alana","1982-01-31","3FA6P0SU5DR944653"
39,"Mazda","2021-04-29T00:46:46.742279",26350,"Ngã Bảy","Curley","B-Series Plus","Edward","1982-02-08","WBAPH57519N942691"
39,"GMC","2021-04-29T00:46:46.742279",26438,"Mongar","Place","Canyon","Claudina","1982-02-10","WAUXG74F29N668302"
39,"Mercury","2021-04-29T00:46:46.742279",26347,"Budapest","Larmuth","Villager","Nestor","1982-02-16","WUADUAFG3CN675741"
39,"Toyota","2021-04-29T00:46:46.742279",26733,"Oslo","Pascoe","Prius","Sibella","1982-02-16","WA1CYAFE1AD809736"
39,"Hyundai","2021-04-29T00:46:46.742279",26580,"Luna","Leslie","Elantra","Kelsey","1982-02-17","5UXFE83577L852435"
39,"Ford","2021-04-29T00:46:46.742279",26537,"Moussoro","Jewis","E-Series","Shay","1982-02-18","1FTWX3A54AE989763"
39,"Mercedes-Benz","2021-04-29T00:46:46.742279",26611,"San Isidro","Havick","SL-Class","Tanney","1982-02-19","WBAPL33599A072561"
39,"Toyota","2021-04-29T00:46:46.742279",26926,"Trollhättan","Dondon","Tacoma","Tucker","1982-02-20","1C6RD6HT1CS541362"
39,"Hyundai","2021-04-29T00:46:46.742279",26847,"Kastsyukovichy","Brammar","Elantra","Diann","1982-02-25","WAULC68EX5A364982"
39,"Daewoo","2021-04-29T00:46:46.742279",26793,"Casal Velho","Stanway","Leganza","Revkah","1982-03-06","4T1BD1FK5FU304966"
39,"Chevrolet","2021-04-29T00:46:46.742279",26473,"Rajhrad","Conkey","Caprice Classic","Raeann","1982-03-08","WDDDJ7CB3BA912080"
39,"Ford","2021-04-29T00:46:46.742279",26256,"Al ‘Anān","Weatherhogg","F350","Garwin","1982-03-09","JH4CU2F47DC163416"
39,"Subaru","2021-04-29T00:46:46.742279",26523,"Kudowa-Zdrój","Paulillo","Alcyone SVX","Ortensia","1982-03-12","JH4DC53075S206542"
39,"BMW","2021-04-29T00:46:46.742279",26018,"Tuochuan","Mowling","M5","Audie","1982-03-16","SCBBB7ZH1FC359341"
39,"Suzuki","2021-04-29T00:46:46.742279",26746,"Naranjal","Mannooch","Swift","Deanna","1982-03-18","WAUPEAFM3BA968331"
39,"MINI","2021-04-29T00:46:46.742279",26511,"Benito Juarez","Gladman","Cooper Clubman","Nealson","1982-03-20","WP1AA2AP4AL781335"
39,"Nissan","2021-04-29T00:46:46.742279",26068,"Wawu","Denness","Leaf","Ranique","1982-03-26","WAUUL68E55A628324"
39,"Audi","2021-04-29T00:46:46.742279",26788,"Changsha","Gaynes","200","Miran","1982-03-27","KMHHU6KJ9FU473800"
39,"Honda","2021-04-29T00:46:46.742279",26540,"Canggetelo","Heinemann","Prelude","Dawn","1982-04-01","WAUAFAFC9CN912737"
39,"Dodge","2021-04-29T00:46:46.742279",26031,"Stockholm","Geraldez","Ram Van 3500","Norene","1982-04-03","SCFBF04B78G636020"
39,"Cadillac","2021-04-29T00:46:46.742279",26192,"Kryvichy","Thomazin","STS","Kenton","1982-04-07","JN1CV6EK6FM823953"
39,"Audi","2021-04-29T00:46:46.742279",26183,"Rozwadza","Geary","TT","Lesli","1982-04-08","SCBLE37G73C151586"
39,"Audi","2021-04-29T00:46:46.742279",26915,"Yuanda","Quarton","A6","Imelda","1982-04-10","1HGCP2E34BA033430"
39,"Volkswagen","2021-04-29T00:46:46.742279",26530,"Niort","Christmas","Scirocco","Shelli","1982-04-11","1N6AD0CU9AC935506"
39,"Maserati","2021-04-29T00:46:46.742279",26781,"Hövsan","Cumbers","Quattroporte","Robin","1982-04-11","KNAGN4AD7F5789619"
39,"Alfa Romeo","2021-04-29T00:46:46.742279",26997,"Cartago","Lawranson","Spider","Worth","1982-04-16","3VW4T7AT9EM278908"
39,"Kia","2021-04-29T00:46:46.742279",26647,"Tha Bo","Chatenier","Sorento","Kassie","1982-04-17","YV1902MM6F1593781"
39,"Hyundai","2021-04-29T00:46:46.742279",26860,"Karipidita","Shury","Elantra","Isabeau","1982-04-24","3C63DPKL0CG983710"
